Temps ;Temperatur;Consigne_T;Humidite;Consigne_H
(s);(�C);(�C);(%);(%)
20760;15.01;15.0;120.0;255.0
20790;15.0;15.0;120.0;255.0
20820;15.0;15.0;120.0;255.0
20850;15.0;15.0;120.0;255.0
20880;15.0;15.0;120.0;255.0
20910;15.0;15.0;120.0;255.0
20940;15.01;15.0;120.0;255.0
20970;15.01;15.0;120.0;255.0
21000;15.0;15.0;120.0;255.0
21030;15.0;15.0;120.0;255.0
21060;15.01;15.0;120.0;255.0
21090;15.01;15.0;120.0;255.0
21120;14.99;15.0;120.0;255.0
21150;14.98;15.0;120.0;255.0
21180;14.98;15.0;120.0;255.0
21210;15.0;15.0;120.0;255.0
21240;15.0;15.0;120.0;255.0
21270;15.01;15.0;120.0;255.0
21300;15.01;15.0;120.0;255.0
21330;15.0;15.0;120.0;255.0
21360;15.01;15.0;120.0;255.0
21390;15.01;15.0;120.0;255.0
21420;15.0;15.0;120.0;255.0
21450;15.01;15.0;120.0;255.0
21480;15.0;15.0;120.0;255.0
21510;15.01;15.0;120.0;255.0
